ticker,company_name,file_date,cik,accession_no
MIRM,"Mirum Pharmaceuticals, Inc.",2020-01-09,1759425,1759425-0001193125-20-004784
UWMC,"Gores Holdings IV, Inc.",2020-01-24,1783398,1783398-0001193125-20-014298
ADPT,Adaptive Biotechnologies Corp,2020-01-24,1478320,1478320-0001193125-20-014285
ARQT,"Arcutis Biotherapeutics, Inc.",2020-01-31,1787306,1787306-0001193125-20-021681
REYN,Reynolds Consumer Products Inc.,2020-01-31,1786431,1786431-0001193125-20-021414
BEAM,Beam Therapeutics Inc.,2020-02-07,1745999,1745999-0001193125-20-026941
CLVT,Clarivate Analytics PLC,2020-02-07,1764046,1764046-0001104659-20-012545
RSI,"dMY Technology Group, Inc.",2020-02-21,1793659,1793659-0001193125-20-044273
DT,"Dynatrace, Inc.",2020-02-21,1773383,1773383-0001628280-20-001954
GFL,GFL Environmental Holdings Inc.,2020-03-04,1780232,1780232-0001047469-20-001194
ELVN,IMARA Inc.,2020-03-12,1672619,1672619-0001193125-20-071536
IMVT,"Immunovant, Inc.",2020-04-14,1764013,1764013-0001193125-20-107237
ORIC,"Oric Pharmaceuticals, Inc.",2020-04-24,1796280,1796280-0001193125-20-119234
MP,Fortress Value Acquisition Corp.,2020-05-01,1801368,1801368-0001193125-20-129430
PLSE,"Pulse Biosciences, Inc.",2020-05-14,1625101,1625101-0001140361-20-011662
EOSE,B. Riley Principal Merger Corp. II,2020-05-20,1805077,1805077-0001213900-20-013058
FSLY,"Fastly, Inc.",2020-05-21,1517413,1517413-0001628280-20-008240
BFLY,Longview Acquisition Corp.,2020-05-22,1804176,1804176-0001140361-20-012265
INVH,Invitation Homes Inc.,2020-06-03,1687229,1687229-0001193125-20-159650
DT,"Dynatrace, Inc.",2020-06-03,1773383,1773383-0001628280-20-008905
WMG,Warner Music Group Corp.,2020-06-04,1319161,1319161-0001193125-20-160812
GTM,ZoomInfo Technologies Inc.,2020-06-05,1794515,1794515-0001628280-20-009087
CLVT,CLARIVATE Plc,2020-06-05,1764046,1764046-0001104659-20-070342
GLOB,Globant S.A.,2020-06-05,1557860,1557860-0001104659-20-070231
LEGN,Legend Biotech Corp,2020-06-08,1801198,1801198-0001193125-20-162919
BILL,"Bill.com Holdings, Inc.",2020-06-11,1786352,1786352-0001193125-20-166630
SITM,SITIME Corp,2020-06-12,1451809,1451809-0001193125-20-167752
PCVX,"Vaxcyte, Inc.",2020-06-15,1649094,1649094-0001193125-20-169580
RPRX,Royalty Pharma plc,2020-06-17,1802768,1802768-0001193125-20-171165
BWIN,"BRP Group, Inc.",2020-06-25,1781755,1781755-0001193125-20-179135
QS,Kensington Capital Acquisition Corp.,2020-06-26,1811414,1811414-0001564590-20-030860
LMND,"Lemonade, Inc.",2020-07-02,1691421,1691421-0001047469-20-003943
NUVB,Panacea Acquisition Corp,2020-07-02,1811063,1811063-0001213900-20-016518
AHCO,AdaptHealth Corp.,2020-07-02,1725255,1725255-0001104659-20-080052
RLAY,"Relay Therapeutics, Inc.",2020-07-16,1812364,1812364-0001193125-20-194016
