ticker,company_name,file_date,cik,accession_no,year
MIRM,"Mirum Pharmaceuticals, Inc.",2020-01-09,1759425,1759425-0001193125-20-004784,2020
ADPT,Adaptive Biotechnologies Corp,2020-01-24,1478320,1478320-0001193125-20-014285,2020
CLVT,Clarivate Analytics PLC,2020-02-07,1764046,1764046-0001104659-20-012545,2020
DT,"Dynatrace, Inc.",2020-02-21,1773383,1773383-0001628280-20-001954,2020
IMVT,"Immunovant, Inc.",2020-04-14,1764013,1764013-0001193125-20-107237,2020
PLSE,"Pulse Biosciences, Inc.",2020-05-14,1625101,1625101-0001140361-20-011662,2020
FSLY,"Fastly, Inc.",2020-05-21,1517413,1517413-0001628280-20-008240,2020
INVH,Invitation Homes Inc.,2020-06-03,1687229,1687229-0001193125-20-159650,2020
DT,"Dynatrace, Inc.",2020-06-03,1773383,1773383-0001628280-20-008905,2020
CLVT,CLARIVATE Plc,2020-06-05,1764046,1764046-0001104659-20-070342,2020
GLOB,Globant S.A.,2020-06-05,1557860,1557860-0001104659-20-070231,2020
BILL,"Bill.com Holdings, Inc.",2020-06-11,1786352,1786352-0001193125-20-166630,2020
SITM,SITIME Corp,2020-06-12,1451809,1451809-0001193125-20-167752,2020
BWIN,"BRP Group, Inc.",2020-06-25,1781755,1781755-0001193125-20-179135,2020
AHCO,AdaptHealth Corp.,2020-07-02,1725255,1725255-0001104659-20-080052,2020
MARA,"Marathon Patent Group, Inc.",2020-07-27,1507605,1507605-0001493152-20-014055,2020
IRTC,"iRhythm Technologies, Inc.",2020-08-19,1388658,1388658-0001388658-20-000231,2020
GTM,ZoomInfo Technologies Inc.,2020-08-21,1794515,1794515-0001628280-20-012984,2020
IMVT,"Immunovant, Inc.",2020-09-03,1764013,1764013-0001193125-20-238296,2020
TXG,"10x Genomics, Inc.",2020-09-11,1770787,1770787-0001193125-20-244106,2020
ADT,ADT Inc.,2020-09-16,1703056,1703056-0001193125-20-246506,2020
ADT,ADT Inc.,2020-09-17,1703056,1703056-0001193125-20-248080,2020
BEAM,Beam Therapeutics Inc.,2020-10-01,1745999,1745999-0001193125-20-261322,2020
ARQT,"Arcutis Biotherapeutics, Inc.",2020-10-05,1787306,1787306-0001628280-20-014284,2020
RPRX,Royalty Pharma plc,2020-10-19,1802768,1802768-0001193125-20-272071,2020
ORIC,"Oric Pharmaceuticals, Inc.",2020-11-13,1796280,1796280-0001193125-20-293217,2020
